city,city_ascii,lat,lng,population,isolation_value,zoom_level
Shaoxing,Shaoxing,30.0511,120.5833,2521964,47.83134217825379,7.0
Yantai,Yantai,37.4646,121.4478,2511053,59.59874282311371,6.5
Huizhou,Huizhou,23.112,114.416,2509243,68.68002372673867,6.5
Lishui,Lishui,28.468,119.923,2507396,92.5432710720754,6.0
Xuanzhou,Xuanzhou,30.939,118.759,2500063,55.47086905944788,7.0
Khowrhesht,Khowrhesht,36.205,49.6872,2500000,163.5673593305039,5.0
Mirzāpur,Mirzapur,25.146,82.569,2496970,249.15758287960355,4.5
Zigong,Zigong,29.339,104.779,2489256,38.06548958743791,7.5
Hamburg,Hamburg,53.55,10.0,2484800,254.82200472108,4.0
Guangyuan,Guangyuan,32.436,105.844,2484122,105.97940862685356,6.0
Cali,Cali,3.4206,-76.5222,2471474,307.29808951822366,4.5
Huangshi,Huangshi,30.2011,115.039,2469079,32.320405812459995,7.5
Xining,Xining,36.6224,101.7804,2467965,193.6390265466192,5.0
Lusaka,Lusaka,-15.4167,28.2833,2467563,1150.1337062693178,2.5
Ouagadougou,Ouagadougou,12.3686,-1.5275,2453496,630.4110241593984,3.5
Yaoundé,Yaounde,3.8667,11.5167,2440462,202.5541671036857,5.0
Zhuhai,Zhuhai,22.2716,113.5769,2439585,33.22650542444111,7.5
Huludao,Huludao,40.711,120.837,2434194,53.32123907180906,6.5
Baoshan,Baoshan,25.112,99.161,2431211,357.4302924310285,4.0
Mecca,Mecca,21.4225,39.8233,2427924,68.63442724010311,6.5
Vancouver,Vancouver,49.25,-123.1,2426160,189.94583279446684,4.5
Lianshan,Lianshan,40.7523,120.828,2426000,4.654549462094484,10.0
Beirut,Beirut,33.8983,35.5057,2421354,84.40139742483555,6.0
Salvador,Salvador,-12.9747,-38.4767,2418005,966.4093137716904,3.0
Bucharest,Bucharest,44.4325,26.1039,2412530,445.764867468469,3.5
Longba,Longba,33.3702,104.9603,2407272,132.6526514856084,5.5
Nāgpur,Nagpur,21.1497,79.0806,2405665,425.9797612518449,4.0
Queens,Queens,40.7498,-73.7976,2405464,12.37634514350288,8.5
Jilin,Jilin,43.8519,126.5481,2396000,98.08616794628306,5.5
Tieling,Tieling,42.2237,123.726,2388294,52.90815884055353,6.5
Accra,Accra,5.55,-0.2,2388000,184.0563837477929,5.0
Yunfu,Yunfu,22.9152,112.0445,2383350,45.74547097863815,7.0
Bekasi Kota,Bekasi Kota,-6.2333,107.0,2381053,0.8695345204519045,21.0
Daegu,Daegu,35.8717,128.6017,2376044,88.03537520030041,6.0
Ghāziābād,Ghaziabad,28.67,77.42,2375820,19.705898058137212,8.5
Luoyang,Luoyang,34.6197,112.4539,2372571,97.74433072542742,6.0
Brisbane,Brisbane,-27.4678,153.0281,2360241,732.540557484169,3.0
Anshun,Anshun,26.2531,105.9476,2353100,80.831725193522,6.5
Riverside,Riverside,33.9381,-117.3949,2332836,95.2841833371038,6.0
Yingkou,Yingkou,40.625,122.219,2328582,84.44777437837419,6.0
Colombo,Colombo,6.9344,79.8428,2323826,685.272990228846,3.5
Yanjiang,Yanjiang,30.129,104.627,2308631,73.83450065088792,6.5
Baku,Baku,40.3953,49.8822,2300500,466.2509639181752,3.5
Antananarivo,Antananarivo,-18.91,47.525,2300000,1613.6136519589402,2.0
Mudanjiang,Mudanjiang,44.5514,129.6329,2290208,255.6494104369536,4.5
Fukuoka,Fukuoka,33.59,130.4017,2286000,214.6568410582857,5.0
Yan’an,Yan'an,36.65,109.494,2282581,183.12280900514577,5.0
Jincheng,Jincheng,35.491,112.852,2279146,46.77003313403409,7.0
Nantong,Nantong,31.981,120.894,2261382,77.44649333515841,6.5
Lincang,Lincang,23.884,100.089,2257991,165.71594492428028,5.5
Yuxi,Yuxi,24.347,102.527,2249502,79.92302039785461,6.5
Las Vegas,Las Vegas,36.2333,-115.2654,2248047,320.4139739695583,4.0
